timestamp,distance_m,los,note,channel,rate_kbps,pa,mode,n,tx_sent,rx_unique,rx_dup,rx_ooo,tx_acked,tx_failed,retries_total,retries_max,rpd_hits,rpd_samples,duration_ms,per_pct,status
2026-09-07T19:53:40,1.0,1,,18,250,MAX,NOACK,1000,1000,793,0,0,0,0,0,0,2206,2266,2007,20.70,OK
2026-09-07T19:53:44,1.0,1,,18,250,MAX,ACK,1000,1000,1000,0,0,1000,0,581,6,2327,4137,3878,0.00,OK
2026-09-07T19:53:47,1.0,1,,18,1000,MAX,NOACK,1000,1000,762,0,0,0,0,0,0,2941,3001,2007,23.80,OK
2026-09-07T19:53:51,1.0,1,,18,1000,MAX,ACK,1000,1000,1000,0,0,1000,0,1507,11,2643,4117,3861,0.00,OK
2026-09-07T19:53:53,1.0,1,,18,2000,MAX,NOACK,1000,1000,1000,0,0,0,0,0,0,2205,2266,2007,0.00,OK
2026-09-07T19:53:54,1.0,1,,18,2000,MAX,ACK,1000,1000,1000,0,0,1000,0,0,0,333,966,707,0.00,OK
2026-09-07T19:54:08,2.0,1,,18,250,MAX,NOACK,1000,1000,893,0,0,0,0,0,0,2206,2267,2007,10.70,OK
2026-09-07T19:54:11,2.0,1,,18,250,MAX,ACK,1000,1000,1000,0,0,1000,0,312,3,1827,3342,3082,0.00,OK
2026-09-07T19:54:13,2.0,1,,18,1000,MAX,NOACK,1000,1000,890,0,0,0,0,0,0,2206,2266,2007,11.00,OK
2026-09-07T19:54:16,2.0,1,,18,1000,MAX,ACK,1000,1000,1000,0,0,1000,0,827,8,1598,2787,2527,0.00,OK
2026-09-07T19:54:19,2.0,1,,18,2000,MAX,NOACK,1000,1000,1000,0,0,0,0,0,0,2205,2265,2007,0.00,OK
2026-09-07T19:54:20,2.0,1,,18,2000,MAX,ACK,1000,1000,1000,0,0,1000,0,0,0,321,966,707,0.00,OK
2026-09-07T19:54:39,5.0,1,,18,250,MAX,NOACK,1000,1000,944,0,0,0,0,0,0,2206,2267,2007,5.60,OK
2026-09-07T19:54:42,5.0,1,,18,250,MAX,ACK,1000,1000,1000,0,0,1000,0,289,4,1798,3274,3015,0.00,OK
