timestamp,distance_m,los,note,channel,rate_kbps,pa,mode,n,tx_sent,rx_unique,rx_dup,rx_ooo,tx_acked,tx_failed,retries_total,retries_max,rpd_hits,rpd_samples,duration_ms,per_pct,status
2026-09-06T20:16:20,30.0,1,,5,250,MAX,ACK,1000,100,0,0,0,0,100,1500,15,4738,5001,4758,100.00,TX_ABORTED
2026-09-06T20:16:23,30.0,1,,5,1000,MAX,NOACK,1000,1000,0,0,0,0,0,0,0,2445,2501,2007,100.00,OK
2026-09-06T20:16:25,30.0,1,,5,1000,MAX,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:16:27,30.0,1,,5,2000,MAX,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:17:05,30.0,1,,5,2000,MAX,ACK,1000,0,180,0,0,0,0,0,0,31656,32384,0,82.00,REPORT_TIMEOUT
2026-09-06T20:18:56,50.0,1,,5,250,MAX,NOACK,1000,1000,0,0,0,0,0,0,0,1201,2501,2007,100.00,OK
2026-09-06T20:19:02,50.0,1,,5,250,MAX,ACK,1000,100,0,0,0,0,100,1500,15,4899,5001,4758,100.00,TX_ABORTED
2026-09-06T20:19:04,50.0,1,,5,1000,MAX,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:19:12,50.0,1,,5,1000,MAX,ACK,1000,100,0,0,0,0,100,1500,15,563,5001,3164,100.00,TX_ABORTED
2026-09-06T20:19:14,50.0,1,,5,2000,MAX,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:19:47,50.0,1,,5,2000,MAX,ACK,1000,0,418,0,0,0,0,0,0,24703,27548,0,58.20,REPORT_TIMEOUT
2026-09-06T20:21:30,70.0,1,,5,250,MAX,NOACK,1000,1000,0,0,0,0,0,0,0,866,2501,2007,100.00,OK
